Yerel Zaman,Scada Turbin Gucu (MW),Scada Turbin Hizi (m/s)
01-08-2016 00:00:00.000,1.1605150000000002,9.602
01-08-2016 00:10:00.000,1.366531,9.969
01-08-2016 00:20:00.000,1.435212,9.94
01-08-2016 00:30:00.000,1.391364,9.911
01-08-2016 00:40:00.000,1.176212,9.247
01-08-2016 00:50:00.000,1.2028789999999998,9.303
01-08-2016 01:00:00.000,1.431788,10.24
01-08-2016 01:10:00.000,1.704364,10.88
01-08-2016 01:20:00.000,1.5914549999999998,10.38
01-08-2016 01:30:00.000,1.449151,9.825
01-08-2016 01:40:00.000,1.386879,9.728
01-08-2016 01:50:00.000,1.5351210000000002,10.21
01-08-2016 02:00:00.000,1.591969,10.22
01-08-2016 02:10:00.000,1.893606,11.07
01-08-2016 02:20:00.000,1.953061,11.22
01-08-2016 02:30:00.000,2.183875,11.83
01-08-2016 02:40:00.000,2.454848,12.46
01-08-2016 02:50:00.000,2.442813,12.52
01-08-2016 03:00:00.000,2.480455,12.58
01-08-2016 03:10:00.000,2.631485,13.02
01-08-2016 03:20:00.000,2.7702809999999998,13.71
01-08-2016 03:30:00.000,2.706572,13.14
01-08-2016 03:40:00.000,2.756323,13.53
01-08-2016 03:50:00.000,2.781533,13.91
01-08-2016 04:00:00.000,2.709815,13.31
01-08-2016 04:10:00.000,2.76204,13.61
01-08-2016 04:20:00.000,2.73996,13.58
01-08-2016 04:30:00.000,2.5224349999999998,12.68
01-08-2016 04:40:00.000,2.412773,12.45
01-08-2016 04:50:00.000,2.431864,12.58
01-08-2016 05:00:00.000,2.379333,12.51
01-08-2016 05:10:00.000,2.383682,12.36
01-08-2016 05:20:00.000,2.3231819999999996,12.07
01-08-2016 05:30:00.000,2.253,12.01
01-08-2016 05:40:00.000,2.1979569999999997,11.9
01-08-2016 05:50:00.000,2.333222,12.41
01-08-2016 06:00:00.000,2.206214,12.23
01-08-2016 06:10:00.000,1.844037,11.37
01-08-2016 06:20:00.000,1.557077,10.28
01-08-2016 06:30:00.000,1.50204,10.15
01-08-2016 06:40:00.000,1.435281,10.05
01-08-2016 06:50:00.000,1.3266969999999998,9.739
01-08-2016 07:00:00.000,1.224909,9.266
01-08-2016 07:10:00.000,1.179242,9.265
01-08-2016 07:20:00.000,1.019161,9.003
01-08-2016 07:30:00.000,0.847774,8.462
01-08-2016 07:40:00.000,0.763485,8.136
01-08-2016 07:50:00.000,0.718546,8.003
01-08-2016 08:00:00.000,0.638879,7.602
01-08-2016 08:10:00.000,0.54575,7.253
01-08-2016 08:20:00.000,0.464065,6.818
01-08-2016 08:30:00.000,0.374786,6.648
01-08-2016 08:40:00.000,0.30472699999999997,6.215
01-08-2016 08:50:00.000,0.194179,5.497
01-08-2016 09:00:00.000,0.115667,4.768
01-08-2016 09:10:00.000,0.13344399999999998,4.91
01-08-2016 09:20:00.000,0.163,5.31
01-08-2016 09:30:00.000,0.13894399999999998,5.032
01-08-2016 09:40:00.000,0.12695499999999998,4.859
01-08-2016 09:50:00.000,0.116905,4.682
01-08-2016 10:00:00.000,0.06442300000000001,4.253
01-08-2016 10:10:00.000,0.0125,3.552
01-08-2016 10:20:00.000,2.12E-4,2.622
01-08-2016 10:30:00.000,0.0,2.403
01-08-2016 10:40:00.000,0.0,2.324
01-08-2016 10:50:00.000,0.0,1.833
01-08-2016 11:00:00.000,0.0,2.485
01-08-2016 11:10:00.000,0.0,2.42
01-08-2016 11:20:00.000,0.0,2.735
01-08-2016 11:30:00.000,0.0067859999999999995,3.581
01-08-2016 11:40:00.000,0.094,4.691
01-08-2016 11:50:00.000,0.2525,5.581
01-08-2016 12:00:00.000,0.399188,6.232
01-08-2016 12:10:00.000,0.401097,6.404
01-08-2016 12:20:00.000,0.478188,6.657
01-08-2016 12:30:00.000,0.651815,7.233
01-08-2016 12:40:00.000,0.68329,7.149
01-08-2016 12:50:00.000,0.7766879999999999,7.418
01-08-2016 13:00:00.000,0.877433,7.926
01-08-2016 13:10:00.000,1.073,8.49
01-08-2016 13:20:00.000,0.800724,7.339
01-08-2016 13:30:00.000,0.923067,7.883
01-08-2016 13:40:00.000,1.033133,7.823
01-08-2016 13:50:00.000,1.075667,8.498
01-08-2016 14:00:00.000,0.902344,7.685
01-08-2016 14:10:00.000,0.897231,7.911
01-08-2016 14:20:00.000,0.7442219999999999,7.23
01-08-2016 14:30:00.000,0.7507619999999999,7.058
01-08-2016 14:40:00.000,0.7054,7.298
01-08-2016 14:50:00.000,0.657211,6.767
01-08-2016 15:00:00.000,0.618739,6.991
01-08-2016 15:10:00.000,0.38971,5.902
01-08-2016 15:20:00.000,0.459677,6.192
01-08-2016 15:30:00.000,0.452,6.019
01-08-2016 15:40:00.000,0.4693,6.604
01-08-2016 15:50:00.000,0.555828,6.766
01-08-2016 16:00:00.000,0.644179,6.84
01-08-2016 16:10:00.000,0.5993099999999999,6.778
01-08-2016 16:20:00.000,0.65236,7.06
01-08-2016 16:30:00.000,0.50555,6.831
01-08-2016 16:40:00.000,0.6818569999999999,7.109
01-08-2016 16:50:00.000,0.498174,6.279
01-08-2016 17:00:00.000,0.6313909999999999,7.136
01-08-2016 17:10:00.000,0.5100480000000001,6.546
01-08-2016 17:20:00.000,0.710423,7.225
01-08-2016 17:30:00.000,0.405586,6.264
01-08-2016 17:40:00.000,0.46710700000000005,6.393
01-08-2016 17:50:00.000,0.6971069999999999,7.354
01-08-2016 18:00:00.000,0.6684690000000001,7.334
01-08-2016 18:10:00.000,0.907212,7.983
01-08-2016 18:20:00.000,0.9968440000000001,8.26
01-08-2016 18:30:00.000,1.121697,8.461
01-08-2016 18:40:00.000,0.737788,7.484
01-08-2016 18:50:00.000,0.5227269999999999,6.655
01-08-2016 19:00:00.000,0.678219,7.592
01-08-2016 19:10:00.000,0.49625,6.782
01-08-2016 19:20:00.000,0.524833,7.255
01-08-2016 19:30:00.000,0.542,7.31
01-08-2016 19:40:00.000,0.58545,7.551
01-08-2016 19:50:00.000,0.5843200000000001,7.645
01-08-2016 20:00:00.000,0.844807,8.228
01-08-2016 20:10:00.000,1.17448,9.131
01-08-2016 20:20:00.000,1.487433,9.856
01-08-2016 20:30:00.000,1.4842,9.865
01-08-2016 20:40:00.000,1.64525,10.16
01-08-2016 20:50:00.000,1.779906,10.54
01-08-2016 21:00:00.000,1.629875,10.26
01-08-2016 21:10:00.000,1.640563,10.39
01-08-2016 21:20:00.000,1.5915,10.33
01-08-2016 21:30:00.000,1.4854690000000002,9.965
01-08-2016 21:40:00.000,1.175645,9.36
01-08-2016 21:50:00.000,1.186844,9.352
01-08-2016 22:00:00.000,1.1431289999999998,9.254
