rpm	 J-Current density	 V_ph (rms)	 I_ph (rms)	 P_desired	 P_total	 Efficiency	 Temperature	 P_net
1	3.469244e-03	3.362709e+01	9.463559e-01	600	6.000000e+02	9.546957e-01	2.000002e+01	5.728174e+02
 1	3.469244e-03	3.362709e+01	9.463559e-01	600	6.000000e+02	9.546957e-01	2.000002e+01	5.728174e+02
 2.900000e+00	3.396230e-02	9.735446e+01	9.264388e+00	16500	1.650000e+04	9.839230e-01	2.000188e+01	1.623473e+04
 4.800000e+00	9.529245e-02	1.608627e+02	2.599430e+01	76200	7.620000e+04	9.877591e-01	2.001483e+01	7.526724e+04
 6.700000e+00	1.877121e-01	2.241238e+02	5.120494e+01	209000	2.090000e+05	9.883847e-01	2.005753e+01	2.065724e+05
 8.600000e+00	3.111883e-01	2.870802e+02	8.488735e+01	444000	4.440000e+05	9.879518e-01	2.015810e+01	4.386506e+05
 1.050000e+01	4.662899e-01	3.496249e+02	1.271966e+02	811000	8.110000e+05	9.870282e-01	2.035498e+01	8.004799e+05
 12	5.349843e-01	3.993681e+02	1.459354e+02	1063000	1.063000e+06	9.869003e-01	2.046728e+01	1.049075e+06
 12	2.647630e+00	3.653794e+02	7.222322e+02	5000000	4.999997e+06	9.500000e-01	3.144480e+01	4.749998e+06
 
