"Distance [mm],""Bz []""";;;;
0;;;;
0.19373154697137,;;;;
0.387463093942741,;;;;
0.581194640914111,;;;;
0.774926187885482,;;;;
0.968657734856852,;;;;
116.238.928.182.822,00;;;;
135.612.082.879.959,00;;;;
154.985.237.577.096,00;;;;
174.358.392.274.233,00;;;;
19.373.154.697.137,00;;;;
213.104.701.668.507,00;;;;
232.477.856.365.644,00;;;;
251.851.011.062.782,00;;;;
271.224.165.759.919,00;;;;
290.597.320.457.056,00;;;;
309.970.475.154.193,00;;;;
32.934.362.985.133,00;;;;
348.716.784.548.467,00;;;;
368.089.939.245.604,00;;;;
387.463.093.942.741,00;;;;
406.836.248.639.878,00;;;;
426.209.403.337.015,00;;;;
445.582.558.034.152,00;;;;
464.955.712.731.289,00;;;;
484.328.867.428.426,00;;;;
503.702.022.125.563,00;;;;
5.230.751.768.227,00;;;;
542.448.331.519.837,00;;;;
561.821.486.216.974,00;;;;
581.194.640.914.111,00;;;;
600.567.795.611.248,00;;;;
619.940.950.308.385,00;;;;
639.314.105.005.522,00;;;;
658.687.259.702.659,00;;;;
678.060.414.399.796,00;;;;
697.433.569.096.933,00;;;;
716.806.723.794.071,00;;;;
736.179.878.491.208,00;;;;
755.553.033.188.345,00;;;;
774.926.187.885.482,00;;;;
794.299.342.582.619,00;;;;
813.672.497.279.756,00;;;;
833.045.651.976.893,00;;;;
85.241.880.667.403,00;;;;
871.791.961.371.167,00;;;;
891.165.116.068.304,00;;;;
910.538.270.765.441,00;;;;
929.911.425.462.578,00;;;;
949.284.580.159.715,00;;;;
968.657.734.856.852,00;;;;
988.030.889.553.989,00;;;;
100.740.404.425.113,00;;;;
10,26777199;-0,002121168;0,57;1;0,008856922
10,46150354;0,003482527;0,57;2;0,017712301
10,65523508;0,013377257;0,57;3;0,026564594
10,84896663;0,023303286;0,57;4;0,035412258
11,04269818;0,033260598;0,57;5;0,044253752
11,23642972;0,043249175;0,57;6;0,053087536
11,43016127;0,053269;0,57;7;0,061912069
11,62389282;0,063320056;0,57;8;0,070725816
11,81762437;0,073402326;0,57;9;0,079527239
12,01135591;0,083515793;0,57;10;0,088314806
12,20508746;0,09366044;0,57;11;0,097086985
12,39881901;0,103845647;0,57;12;0,105842248
12,59255055;0,11413702;0,57;13;0,114579069
12,7862821;0,124478283;0,57;14;0,123295926
