Distance [mm];By [];Bag;#;;;
0;-0,000283233;0,453;1;0;0;0
0,543277654;0,006726421;0,453;2;0,012616838;0,006434417;0,722891567
1,086555308;0,013494682;0,453;3;0,025233676;0,012867809;1,445783133
1,629832961;0,02028704;0,453;4;0,037850514;0,019299153;2,168674698
2,173110615;0,027069953;0,453;5;0,050467352;0,025727425;2,891566265
2,716388269;0,03384342;0,453;6;0,06308419;0,032151602;3,614457831
3,259665923;0,040607442;0,453;7;0,075701028;0,03857066;4,337349398
3,802943577;0,047362018;0,453;8;0,088317866;0,044983579;5,060240964
4,34622123;0,054107146;0,453;9;0,100934704;0,051389338;5,783132529
4,889498884;0,060842827;0,453;10;0,113551542;0,057786916;6,506024096
5,432776538;0,067569059;0,453;11;0,12616838;0,064175295;7,228915662
5,976054192;0,074285841;0,453;12;0,138785218;0,070553459;7,951807229
6,519331846;0,080994142;0,453;13;0,151402056;0,076920392;8,674698795
7,062609499;0,08770986;0,453;14;0,164018894;0,08327508;9,397590361
7,605887153;0,09441764;0,453;15;0,176635732;0,089616513;10,12048193
8,149164807;0,101117481;0,453;16;0,189252569;0,09594368;10,84337349
8,692442461;0,107809383;0,453;17;0,201869407;0,102255574;11,56626506
9,235720115;0,114493345;0,453;18;0,214486245;0,108551192;12,28915663
9,778997768;0,121169367;0,453;19;0,227103083;0,11482953;13,01204819
10,32227542;0,127837448;0,453;20;0,239719921;0,121089589;13,73493976
10,86555308;0,134497587;0,453;21;0,252336759;0,127330372;14,45783133
11,40883073;0,141149785;0,453;22;0,264953597;0,133550887;15,18072289
11,95210838;0,147794039;0,453;23;0,277570435;0,139750143;15,90361445
12,49538604;0,154430351;0,453;24;0,290187273;0,145927154;16,62650603
13,03866369;0,161058719;0,453;25;0,302804111;0,152080935;17,34939759
13,58194135;0,167679142;0,453;26;0,315420949;0,158210507;18,07228916
14,125219;0,174291621;0,453;27;0,328037787;0,164314895;18,79518072
14,66849665;0,180896154;0,453;28;0,340654625;0,170393127;19,51807229
15,21177431;0,187492742;0,453;29;0,353271463;0,176444236;20,24096386
15,75505196;0,194081383;0,453;30;0,365888301;0,182467258;20,96385542
16,29832961;0,200662076;0,453;31;0,378505139;0,188461234;21,68674698
16,84160727;0,207234823;0,453;32;0,391121977;0,19442521;22,40963856
17,38488492;0,213799621;0,453;33;0,403738815;0,200358237;23,13253012
17,92816258;0,22035647;0,453;34;0,416355653;0,206259371;23,85542169
18,47144023;0,226905371;0,453;35;0,428972491;0,212127672;24,57831325
19,01471788;0,233446321;0,453;36;0,441589329;0,217962206;25,30120481
19,55799554;0,239979322;0,453;37;0,454206167;0,223762044;26,02409639
20,10127319;0,246504371;0,453;38;0,466823005;0,229526263;26,74698795
20,64455084;0,252789898;0,453;39;0,479439843;0,235253946;27,46987951
21,1878285;0,258387592;0,453;40;0,492056681;0,24094418;28,19277109
21,73110615;0,263788265;0,453;41;0,504673519;0,24659606;28,91566265
22,27438381;0,269134158;0,453;42;0,517290357;0,252208686;29,63855422
