Distance [mm];By [];Bag;#;SIRA;;;
0;0,000189604;0,459;1;1;0;0;0
0,548457384;0,007172642;0,459;2;2;0,006283185;0,36;0,003242102
1,096914768;0,014056988;0,459;3;3;0,012566371;0,72;0,006484077
1,645372151;0,021082371;0,459;4;4;0,018849556;1,08;0,009725795
2,193829535;0,028158598;0,459;5;5;0,025132741;1,44;0,012967129
2,742286919;0,035112678;0,459;6;6;0,031415927;1,8;0,016207952
3,290744303;0,042037788;0,459;7;7;0,037699112;2,16;0,019448134
3,839201686;0,048959603;0,459;8;8;0,043982297;2,52;0,022687549
4,38765907;0,05587812;0,459;9;9;0,050265482;2,88;0,025926068
4,936116454;0,062793337;0,459;10;10;0,056548668;3,24;0,029163564
5,484573838;0,069705254;0,459;11;11;0,062831853;3,6;0,032399908
6,033031222;0,076613867;0,459;12;12;0,069115038;3,96;0,035634973
6,581488605;0,083519176;0,459;13;13;0,075398224;4,32;0,038868632
7,129945989;0,090421177;0,459;14;14;0,081681409;4,68;0,042100756
7,678403373;0,097319871;0,459;15;15;0,087964594;5,04;0,045331217
8,226860757;0,104215254;0,459;16;16;0,09424778;5,4;0,04855989
8,77531814;0,111107326;0,459;17;17;0,100530965;5,76;0,051786645
9,323775524;0,117996084;0,459;18;18;0,10681415;6,12;0,055011356
9,872232908;0,124881526;0,459;19;19;0,113097336;6,48;0,058233895
10,42069029;0,131763651;0,459;20;20;0,119380521;6,84;0,061454135
10,96914768;0,138642457;0,459;21;21;0,125663706;7,2;0,064671949
11,51760506;0,145517942;0,459;22;22;0,131946891;7,56;0,067887209
12,06606244;0,152390105;0,459;23;23;0,138230077;7,92;0,07109979
12,61451983;0,159258943;0,459;24;24;0,144513262;8,28;0,074309564
13,16297721;0,166124455;0,459;25;25;0,150796447;8,64;0,077516404
13,71143459;0,172986639;0,459;26;26;0,157079633;9;0,080720184
14,25989198;0,179845493;0,459;27;27;0,163362818;9,36;0,083920777
14,80834936;0,186701016;0,459;28;28;0,169646003;9,72;0,087118057
15,35680675;0,193553205;0,459;29;29;0,175929189;10,08;0,090311898
15,90526413;0,20040206;0,459;30;30;0,182212374;10,44;0,093502174
16,45372151;0,207247577;0,459;31;31;0,188495559;10,8;0,096688758
17,0021789;0,213595419;0,459;32;32;0,194778745;11,16;0,099871526
17,55063628;0,219756591;0,459;33;33;0,20106193;11,52;0,10305035
18,09909366;0,225881252;0,459;34;34;0,207345115;11,88;0,106225106
18,64755105;0,231969401;0,459;35;35;0,2136283;12,24;0,109395669
19,19600843;0,238051393;0,459;36;36;0,219911486;12,6;0,112561913
19,74446582;0,244114402;0,459;37;37;0,226194671;12,96;0,115723713
20,2929232;0,25013447;0,459;38;38;0,232477856;13,32;0,118880944
20,84138058;0,256111594;0,459;39;39;0,238761042;13,68;0,122033482
21,38983797;0,26204577;0,459;40;40;0,245044227;14,04;0,125181203
21,93829535;0,267936993;0,459;41;41;0,251327412;14,4;0,128323982
22,48675273;0,273785259;0,459;42;42;0,257610598;14,76;0,131461694
23,03521012;0,279590564;0,459;43;43;0,263893783;15,12;0,134594217
23,5836675;0,285352905;0,459;44;44;0,270176968;15,48;0,137721426
24,13212489;0,291072276;0,459;45;45;0,276460154;15,84;0,140843199
24,68058227;0,296668295;0,459;46;46;0,282743339;16,2;0,143959411
25,22903965;0,302188627;0,459;47;47;0,289026524;16,56;0,147069939
25,77749704;0,307662575;0,459;48;48;0,295309709;16,92;0,150174662
26,32595442;0,313090139;0,459;49;49;0,301592895;17,28;0,153273456
26,87441181;0,318471318;0,459;50;50;0,30787608;17,64;0,156366199
27,42286919;0,323806111;0,459;51;51;0,314159265;18;0,159452769
27,97132657;0,329094519;0,459;52;52;0,320442451;18,36;0,162533044
28,51978396;0,33433654;0,459;53;53;0,326725636;18,72;0,165606903
29,06824134;0,339532173;0,459;54;54;0,333008821;19,08;0,168674223
29,61669872;0,344681419;0,459;55;55;0,339292007;19,44;0,171734885
30,16515611;0,349784276;0,459;56;56;0,345575192;19,8;0,174788767
30,71361349;0,35469429;0,459;57;57;0,351858377;20,16;0,177835748
31,26207088;0,358998519;0,459;58;58;0,358141563;20,52;0,180875709
31,81052826;0,362507682;0,459;59;59;0,364424748;20,88;0,183908529
32,35898564;0,366035408;0,459;60;60;0,370707933;21,24;0,186934089
32,90744303;0,369536324;0,459;61;61;0,376991118;21,6;0,189952269
33,45590041;0,372988834;0,459;62;62;0,383274304;21,96;0,19296295
34,00435779;0,37639294;0,459;63;63;0,389557489;22,32;0,195966013
34,55281518;0,379748646;0,459;64;64;0,395840674;22,68;0,19896134
35,10127256;0,383055955;0,459;65;65;0,40212386;23,04;0,201948812
35,64972995;0,386314868;0,459;66;66;0,408407045;23,4;0,204928312
36,19818733;0,389525389;0,459;67;67;0,41469023;23,76;0,207899721
36,74664471;0,392687521;0,459;68;68;0,420973416;24,12;0,210862923
37,2951021;0,395801266;0,459;69;69;0,427256601;24,48;0,2138178
37,84355948;0,398866628;0,459;70;70;0,433539786;24,84;0,216764236
38,39201686;0,401883609;0,459;71;71;0,439822972;25,2;0,219702114
38,94047425;0,404852212;0,459;72;72;0,446106157;25,56;0,22263132
39,48893163;0,40777244;0,459;73;73;0,452389342;25,92;0,225551736
