rpm	 J-Current density	 V_ph (rms)	 I_ph (rms)	 P_desired	 P_total	 Efficiency	 Temperature	 P_net
1	1.358855e+00	2.549229e+01	3.970785e+02	195000	2.442117e+05	7.460900e-01	2.301467e+01	1.822039e+05
 1	2.089264e+00	2.030820e+01	6.105151e+02	420000	3.716776e+05	6.004460e-01	2.712657e+01	2.231723e+05
 2.900000e+00	1.680721e+00	8.785092e+01	4.911327e+02	786000	8.740553e+05	8.885436e-01	2.461196e+01	7.766363e+05
 4.800000e+00	1.605768e+00	1.531000e+02	4.692302e+02	1296000	1.386318e+06	9.327615e-01	2.420978e+01	1.293104e+06
 6.700000e+00	1.703033e+00	2.168333e+02	4.976526e+02	1943000	2.052877e+06	9.461539e-01	2.473522e+01	1.942338e+06
 8.600000e+00	1.832964e+00	2.800271e+02	5.356205e+02	2699000	2.834577e+06	9.524486e-01	2.548532e+01	2.699788e+06
 1.050000e+01	1.932378e+00	3.433059e+02	5.646706e+02	3487000	3.647753e+06	9.565848e-01	2.609646e+01	3.489385e+06
 12	2.020969e+00	3.929710e+02	5.905585e+02	4174000	4.357812e+06	9.585780e-01	2.666827e+01	4.177303e+06
 12	2.452992e+00	3.869168e+02	7.168021e+02	5000000	5.240635e+06	9.525888e-01	2.982395e+01	4.992170e+06
 
